algorithm,workfactor,timeinmilliseconds
BCRYPT,4,2
BCRYPT,5,3
BCRYPT,6,6
BCRYPT,7,16
BCRYPT,8,26
BCRYPT,9,57
BCRYPT,10,116
BCRYPT,11,202
BCRYPT,12,384
BCRYPT,13,881
BCRYPT,14,1646
BCRYPT,15,3467
BCRYPT,16,6874
SCRYPT,1024,14
SCRYPT,2048,24
SCRYPT,4096,56
SCRYPT,8192,112
SCRYPT,16384,201
SCRYPT,32768,470
SCRYPT,65536,815
SCRYPT,131072,1805
SCRYPT,262144,3270
SCRYPT,524288,6226
PBKDF2,10000,56
PBKDF2,20000,109
PBKDF2,40000,221
PBKDF2,80000,441
PBKDF2,160000,882
PBKDF2,320000,1773
PBKDF2,640000,3605
PBKDF2,1280000,7340
ARGON2,100,43
ARGON2,200,73
ARGON2,400,145
ARGON2,800,295
ARGON2,1600,583
ARGON2,3200,1258
ARGON2,6400,2386
ARGON2,12800,6000